(Do Not Modify) City,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Province,Created On
3059df2f-dca5-e611-80bb-00155d64ab22,4PICe3NdJiIGUyBh1odQeGG85gTL0JKXhUb01TzfsgW2v6ilU4GbyMPuEG5KBLBL/6x/kPTMXkzfKV4Be8PJ/w==,2017-09-14 20:12,100 Mile House,British Columbia,2017-09-14 14:12
3259df2f-dca5-e611-80bb-00155d64ab22,g35XWutyUxkMEk3LzGYQBLEe3NqBgsZm1v8pA3hQJTbtWu28g5CFSkr/LbN99DiIiT3uTiaj64jAU8XRm5OVVQ==,2017-09-14 20:12,150 Mile House,British Columbia,2017-09-14 14:12
3459df2f-dca5-e611-80bb-00155d64ab22,UdBDifYTIygX9EPJDH/Yolnrsi3Rsj2Xkci2Qt6vOYzvhlvthVx+Kn49xS9i+CQ2QCOqsN674wujLqyK/rypUw==,2017-09-14 20:12,70 Mile House,British Columbia,2017-09-14 14:12
a24fdf2f-dca5-e611-80bb-00155d64ab22,ToDd0oUv6b1YjsBOdhGtTbQOHAj+ko1AFDOnShhif+S4dBQ4vfYlYovrISBjyx/rqupVaFvDLQy75IEaKvJrBw==,2017-09-14 21:19,Abbeville,Mississippi,2017-09-14 14:08
3659df2f-dca5-e611-80bb-00155d64ab22,e3AKFqjA7sOSCbtDvMbD0FPSapzSz7wM+AvniNh3UJoqcIUaRS0CKBsTauAq8Ex1mjjCxzbWjKXtllh55l9OEw==,2017-09-14 21:15,Abbotsford,Wisconsin,2017-09-14 14:12
ef80ac41-dca5-e611-80bb-00155d64ab22,NSTlnCc5LY7ET0tkldxthN+b5VxfjyxcI81gAsI4tGP8EvlDMGcXqHJS8IMm8GaTiScGjH7HXOmjvdJ2IoQ8Bw==,2017-09-14 21:08,Abbott,Texas,2017-09-14 15:08
0d69ac41-dca5-e611-80bb-00155d64ab22,ocHtJobGZJJZuoy5hoSSA7yDDxy4R7SzFR5FVchP//WYe3Mc6S3+v07FZ7Xvzl3eNt+1vnQ36SAOcZ+MFsPHGQ==,2017-09-14 20:59,Abbottstown,Pennsylvania,2017-09-14 14:59
e050203b-dca5-e611-80bb-00155d64ab22,jRXPI99J6JkHeOQNGltnD9QRhx7JY+SoLlKAXKJ6e+sMzgTH0JitVB6gAMbkcRMdJ6r6jIDSfpPlpbQ/lKg6+Q==,2017-09-14 20:49,Abercrombie,North Dakota,2017-09-14 14:49
466edf2f-dca5-e611-80bb-00155d64ab22,jJ+QzpFPAbvPLRezpFSzA73WFUO4ifciUqxhXHmzdGIqQcEebXuLj7sgfRHgaa6LucAUqFXvsUKgxv64MrWHVA==,2017-09-14 21:20,Aberdeen,Mississippi,2017-09-14 14:20
d6ee2036-dca5-e611-80bb-00155d64ab22,1sLtxij48IXO39Jlc08O78Xf5R8MJuPnacCFMX9AoeUY8gIHwDAUygB3MKxNwu8dPxRbik9dvak2dfiGuxhVmw==,2017-09-14 20:32,Aberdeen Proving Ground,Maryland,2017-09-14 14:32
f180ac41-dca5-e611-80bb-00155d64ab22,EAKlPrdQPtfgDvjK7/fOzgGmy0ImmNrizpU7u9lmBh2E4U5tC0acauL5NEz44cqGmzBHljVGu7L0LhS8QA7CZA==,2017-09-14 21:08,Abernathy,Texas,2017-09-14 15:08
56e22036-dca5-e611-80bb-00155d64ab22,iT4CIhZ2gnkJ0DOnNJFUVKoZwtKl2gB4bgT3XfhufhNxA+6YBO2jLDKhvBx3JINp0BNCu8wpnRlfskQsPgvAAQ==,2017-09-14 21:08,Abilene,Texas,2017-09-14 14:27
966fdf2f-dca5-e611-80bb-00155d64ab22,e6X+F6DI2jpLWVtCV8iYWajVGDoGAJgnUYQgZeeQKhQVdo8DVvCGCTfJMO4V+nqD0vu951kJpyygHi0hw+N5gA==,2017-09-14 21:12,Abingdon,Virginia,2017-09-14 14:21
62f12036-dca5-e611-80bb-00155d64ab22,CH51bI8sRucjdtR7PaI36504yHLU7uyPLE1oFtexkkqMI4Ay62KlPrjxCsSXZxLz1msPVKV3EIzXGNOr1Ov/Qg==,2017-09-14 20:32,Abington,Massachusetts,2017-09-14 14:32
0f69ac41-dca5-e611-80bb-00155d64ab22,PrztnlOpghI+EOlPULcJCkomtS9Om1Bfho9cZajL+gHTTvFPvso5oRTWvZBWkfbmWWzpyCdcNaQn1BAGrd9q/w==,2017-09-14 20:59,Abington Township,Pennsylvania,2017-09-14 14:59
b83ff82b-dea5-e611-80bb-00155d64ab22,XwNNVz8rcMtFWxxSthT13uNOKNWojCsPvpYijP60aoLy2YBuLG23ByEXNmXbuYAJ4s/DafcFzOZpOjaQr83Tyw==,2017-09-14 21:21,Abiquiu,New Mexico,2017-09-14 15:21
24e92036-dca5-e611-80bb-00155d64ab22,kNBEJ/j3mMKWMNrfQUkMzCFHwOmX6RU2YRMlvHCF2yKKRO/7C2LOKOcq6uzYVl4/f1twVwVZ907vM3XKOS98Fg==,2017-09-14 20:29,Abita Springs,Louisiana,2017-09-14 14:29
b8088c46-dca5-e611-80bb-00155d64ab22,hYo7357uLdrFF+yswaXd4IauLXssn569X2FSZ5u2JY/Ls3xAQZFwkkTcfP5tBKcJTZkJOFDe+4NIs13ux/H0TQ==,2017-09-14 21:16,Abrams,Wisconsin,2017-09-14 15:16
e250203b-dca5-e611-80bb-00155d64ab22,egX6rvy8LybSwzDrdCqDCvipw2W8aIC0qxST4KwAHumpfs2MycnSNUWC8WuVaj5ny1XO2R10lZJzG2s3+TEUng==,2017-09-14 20:49,Absaraka,North Dakota,2017-09-14 14:49
8636203b-dca5-e611-80bb-00155d64ab22,ydnJQLCcZS72t4f/zpE4Tqd2GLu4n/iaMtRRXWyyBKFiyzrEfFrGcctJ2aLDNXZ5i8WGNqlRQw6v+khwB5AsRw==,2017-09-14 20:40,Absarokee,Montana,2017-09-14 14:40
ce3d203b-dca5-e611-80bb-00155d64ab22,PZUixiyXrqh1AWDrDWaLJbOTFTFC4nzj/wAw3m8CJLdB25Xypjxnk33dKWxUwpucdtNu3OQ9+Xv4VVnJLeI/gQ==,2017-09-14 20:42,Absecon,New Jersey,2017-09-14 14:42
28974a2e-28f8-e811-8172-480fcfeab9c1,Nte49W2z/SCspgZXjDo9PKYYkyzMaI4AE/2s1ZMh1A9/jMKKhUXbrl5w1j6gtWt4l9O7ztxLxznyKvCizdMu8g==,2018-12-05 0:53,Acacia Ridge,Queensland Australia,2018-12-04 17:53
6253df2f-dca5-e611-80bb-00155d64ab22,0vdImkTdV1OVi4/EC1DMxqhJFC19ywPJFmzWE/W0kpZlenc+tpwyQlIcRbiJIuT1KU4GiPi44A0ri90o/hdaVg==,2017-09-14 20:10,Acadia Valley,Alberta,2017-09-14 14:10
1e5bdf2f-dca5-e611-80bb-00155d64ab22,NHVchgxUyF+xKOJUSDEQAE20uaBIYj8iep83p6trLDPBl8GZvdpNivFbxZm7IryyKHrrrOZuSC/s8TUgHCqXLw==,2017-09-14 20:13,Acampo,California,2017-09-14 14:13
daee2036-dca5-e611-80bb-00155d64ab22,Vo4oT7lD+6q/W5+M7W7EwSXCPqFQngvFWAdJRcNcjeCXiuWwYVlM8Ed2fDyq7FaARoTMHfRPgamAtgXCVyMGNQ==,2017-09-14 20:31,Accident,Maryland,2017-09-14 14:31
dcee2036-dca5-e611-80bb-00155d64ab22,9b6/CWezjl/UFfJaT/hL01G4xEEbfaucObriPaM30Y/J+mOTg6KesaEE7nyCtaeDayOSgWtbjMM50oB2oLET9Q==,2017-09-14 20:31,Accokeek,Maryland,2017-09-14 14:31
32fe8b46-dca5-e611-80bb-00155d64ab22,963hAdGp/dPqVSnissmQmq3XBErIAGrLa1FUdRd/MUMmv9oUMHVa5TvJ+mJ7G/CoWMymnWB9j7hTgH/hCxWGNg==,2017-09-14 21:12,Accomac,Virginia,2017-09-14 15:12
64f12036-dca5-e611-80bb-00155d64ab22,SEfS459EOBxyHH4rZxb/sTII3Lff67b+I2rI8ki9sIFrJnEBb2Km4rNsWeISsi/SP/Br/OMRGs1uzhH2Dq1I0Q==,2017-09-14 20:44,Accord,New York,2017-09-14 14:32
66beef31-dea5-e611-80bb-00155d64ab22,WedtNQ22Pxt1p9SyCcLO+Oj8HkTHuWpEvFxi/g9x1KXuArtelR37FWK3DQH5RkA7b37o1/DuqyB/IeK179NZAA==,2017-09-14 21:22,Accoville,West Virginia,2017-09-14 15:22
6453df2f-dca5-e611-80bb-00155d64ab22,XkceXquUrGZ9npjipGCrVgZ1EmzuiDbZfmgnYePok+dciH6GzzOuuovkXpQ4CrEOgDSrIG7HR+kYUvg+WWpiyQ==,2017-09-14 20:10,Acheson,Alberta,2017-09-14 14:10
695fac41-dca5-e611-80bb-00155d64ab22,EseDm5ArkG+aM2RhvUXVS/bdqx1vRHwK3nebA1Sw+7HPQG5DZUj4SKKn+f2J2McGG/A7NNRpKRy24eV3EgN44A==,2017-09-14 20:53,Achille,Oklahoma,2017-09-14 14:53
f580ac41-dca5-e611-80bb-00155d64ab22,BKcGnVI9CkMovlq7QWeZ5qAkK5mxjQa1BflML3VxPJAwI4zWZ+Fy3/Z6HZpPQ/NMhY0qxqhwkhcEikJ/GiU1GA==,2017-09-14 21:09,Ackerly,Texas,2017-09-14 15:09
cdc01423-dea5-e611-80bb-00155d64ab22,UNPSlkUEq0QiRNDVujJnGsvVGVslXSBKl+55H4qUwWO5GYrXuzS+II9ivrpK+V2oFRbWKz47ocy0PyVqdb5suA==,2017-09-14 21:19,Ackerman,Mississippi,2017-09-14 15:19
22dd2036-dca5-e611-80bb-00155d64ab22,QpjGPRW48A/DU+HBPN+7z6DcaA34cir0VkP+LKp7BR8DvRMnln6egjJkH47BSwozqLCBtX+YzMEgjlgXTO3LHQ==,2017-09-14 20:25,Ackley,Iowa,2017-09-14 14:25
6653df2f-dca5-e611-80bb-00155d64ab22,hs9Z2ZnFF0EiQlMkD9JykHkCHfFC/xG5IljJw7edfCEXN2Jr5iR4uYWXzjHjhh05A9tcWKTR7fJY0/Fkm65PJA==,2017-09-14 21:14,Acme,Washington,2017-09-14 14:10
2843203b-dca5-e611-80bb-00155d64ab22,DzkFMeA9VSu8YpYytLiFLrsgPQVCpYJfjzH826PqOSualnimkP0uWKLq1PrZQ8BkacAGGpPXpxC1+p3rlIkO4w==,2017-09-14 20:44,Acra,New York,2017-09-14 14:44
205bdf2f-dca5-e611-80bb-00155d64ab22,U74iaVRgI6q0pxkigvCnEyrXJv6CsLAuEdK8An2WVsAKzSEqFrlXa9D/O5gyqfCSiiplvJVHS05yUIeM0aw9LQ==,2017-09-14 20:56,Acton,Ontario,2017-09-14 14:13
2973ac41-dca5-e611-80bb-00155d64ab22,sVrsdLQQ7VIZbRjvtlN8bETCic6IDV5m2/S2KEYNfEFkXJrMI4034be+3ZfYAcpCmwJe7mXRx03GWKK4Yn04Xg==,2017-09-14 21:03,Acton Vale,Quebec,2017-09-14 15:03
68f12036-dca5-e611-80bb-00155d64ab22,lwVxzmOM5aS5zSJ9EScj5kN/PfSuppVZCKUsB2ho6+bV0IoKKsQVvz+kjBEGGoaT5eWp0Rtz0R2beNJfAFTyeQ==,2017-09-14 20:32,Acushnet,Massachusetts,2017-09-14 14:32
f869df2f-dca5-e611-80bb-00155d64ab22,Hi6cOf1C/8TrF/afa3yEAFeMG+6il9EOKkcm7QQtdePy4Wm+voU5t8cF3ssOecDYLMWTr1UXmZXT2zKKHhWH7Q==,2017-09-14 21:20,Acworth,New Hampshire,2017-09-14 14:19
d6f42036-dca5-e611-80bb-00155d64ab22,++HMd4Wcg5va0MiSgVdDvffrgsDbNGnh2gSz+eno0oXdcEX3flVvYL1oHFcufSUE6Nxyu+Yf853VQquK8VhxQg==,2017-09-14 20:54,Ada,Oklahoma,2017-09-14 14:34
1369ac41-dca5-e611-80bb-00155d64ab22,1kWuYRukbhGIMVkG+05giQdcLJv+ezmZPcCDeE5uZnD8GTgPHhpnC2FOvy6z1c/WfySsHijO/HHvqlH2V6zV3A==,2017-09-14 21:00,Adah,Pennsylvania,2017-09-14 15:00
24dd2036-dca5-e611-80bb-00155d64ab22,J8/ol5cczZ2Vt2MCnm4mHfiA55O0YEPkRL2pwddv8vlXKoS0v88fQ+9VW8gSOWpjurvMYHmnQXkoa15tdL3NIQ==,2017-09-14 20:54,Adair,Oklahoma,2017-09-14 14:25
fa69df2f-dca5-e611-80bb-00155d64ab22,w31ltRXKAqnUOwpqyGmnqlupTudOQwz2e0Wzcy16Gp1Sy7NBkL6ox79RSb5dsbDcOrjlIpLvzCrFcIPGRW4fJA==,2017-09-14 20:19,Adairsville,Georgia,2017-09-14 14:19
