(Do Not Modify) Country,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Owner,Record Created On,Status,Status Reason
9cd15033-f73c-e811-813c-480fcfea5041,uxyXE9HmR9UOte2hLqmYdZQzmqJs80JaKHWl7j9QgdcE6pMSZgxq34xeQfKdGik+NQmtvFbWu8dE3ACdHLhs8A==,2018-04-10 19:41,Afghanistan,2018-04-10 13:41,Jon Lam,,Active,Active
9ed15033-f73c-e811-813c-480fcfea5041,a0PvaRN3GCueW0TYuSmNazC9WPm9ujbazRXnrBIA73U7rkkLMhzmjILWDiyZ5KX1dgjoWZP3yl0tFK0b/HLDhQ==,2018-04-10 19:41,Albania,2018-04-10 13:41,Jon Lam,,Active,Active
a0d15033-f73c-e811-813c-480fcfea5041,BBPqLK3BSm5qTVCUipCWhL2PI6jBF5/aEBGG2ctK94ty4suhxQ8dN4+UgfWoILWiUpAyOVsn5WndXvdWLwosXA==,2018-04-10 19:41,Algeria,2018-04-10 13:41,Jon Lam,,Active,Active
a2d15033-f73c-e811-813c-480fcfea5041,q/oT/owm/n2qlsUg8+OwiG/U2XwyUG+SAbMPR2sOqmobmbplM/e0rDrUXR46BrThNuH/QExjd2nBK6/K8DsHkw==,2018-04-10 19:41,Andorra,2018-04-10 13:41,Jon Lam,,Active,Active
a4d15033-f73c-e811-813c-480fcfea5041,PDSYuuFg3pNCNvPr/EIoiIQis2KZN7vqxSL4gjKILAqB3UakblhOEDGyfzeUrMfL5RthwHRDpq/qZErmfww7Fw==,2018-04-10 19:41,Angola,2018-04-10 13:41,Jon Lam,,Active,Active
a6d15033-f73c-e811-813c-480fcfea5041,stJ29jhAGEP6NtkU/pliE6bAxeI/vAW3nSfevkNTKNpiNPUnu5tQF/ZurWMDnxgJV8am5DDfvXXYKh5JrqFAqw==,2018-04-10 19:41,Anguilla,2018-04-10 13:41,Jon Lam,,Active,Active
a8d15033-f73c-e811-813c-480fcfea5041,6zWWlli3v+u+UrZW7jcSMfj0tqI/2yhnlAgGsSXjBWQ8Nj/qq4sHhToKk2+Vm0MgOQhvzO+yWpwI9HRJyCJgbA==,2018-04-10 19:41,Antarctica,2018-04-10 13:41,Jon Lam,,Active,Active
aad15033-f73c-e811-813c-480fcfea5041,osUJ7mhvL39B2B244eMQai/Aqf1MQvu5T6cJ7cIJJiCAIbJa8Dew28Cq4ZMZnoHWMwrFWRbmwybeXEJz1KJ0hA==,2018-04-10 19:41,Antigua and Barbuda,2018-04-10 13:41,Jon Lam,,Active,Active
acd15033-f73c-e811-813c-480fcfea5041,p2cOifpQE+pJGZ2C5tFBO/32s9GyCqK2aSQrpY7sgxrs/RuXYcwgeAaT4HlYdsJet+5nbBv38RyCVT3KvXQA0w==,2018-04-10 19:41,Argentina,2018-04-10 13:41,Jon Lam,,Active,Active
aed15033-f73c-e811-813c-480fcfea5041,qT+yhu4AihK/azOzHvUrYRdBIqqD30Ckcs5h6WTXuKZwvp1QYi5G/4mPHfa28nr1hJdQ4gNkG9MGs+5DheV0CQ==,2018-04-10 19:41,Armenia,2018-04-10 13:41,Jon Lam,,Active,Active
